Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0.314788818359375;7.23500198173338;-8.50830078125E-08;-0.314361572265625;1;47;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.317230224609375;7.25941598167174;-7.82470703125E-08;-0.31683349609375;1;48;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.319671630859375;7.2838299816101;-7.293701171875E-08;-0.3192138671875;1;49;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.322113037109375;7.30824398154846;-6.817626953125E-08;-0.321746826171875;1;50;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.324554443359375;7.33265798148682;-6.4788818359375E-08;-0.32415771484375;1;51;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.326995849609375;7.35707198142518;-6.16455078125E-08;-0.326629638671875;1;52;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.329437255859375;7.38148598136354;-5.9661865234375E-08;-0.329071044921875;1;53;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.331878662109375;7.4058999813019;-5.77392578125E-08;-0.331512451171875;1;54;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.334320068359375;7.43031398124026;-5.6427001953125E-08;-0.334014892578125;1;55;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.336761474609375;7.45472798117862;-5.523681640625E-08;-0.336395263671875;1;56;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.339202880859375;7.47914198111698;-5.4443359375E-08;-0.33880615234375;1;57;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.341644287109375;7.50355598105534;-5.438232421875E-08;-0.34130859375;1;58;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.344085693359375;7.5279699809937;-5.401611328125E-08;-0.343719482421875;1;59;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.346527099609375;7.55238398093206;-5.37109375E-08;-0.346099853515625;1;60;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.348968505859375;7.57679798087042;-5.3741455078125E-08;-0.3486328125;1;61;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.351409912109375;7.60121198080878;-5.4229736328125E-08;-0.35101318359375;1;62;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.353851318359375;7.62562598074715;-5.438232421875E-08;-0.353485107421875;1;63;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.356292724609375;7.65003998068551;-5.4473876953125E-08;-0.35589599609375;1;64;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.358734130859375;7.67445398062387;-5.499267578125E-08;-0.358367919921875;1;65;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.361175537109375;7.69886798056223;-5.572509765625E-08;-0.36083984375;1;66;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.363616943359375;7.72328198050059;-5.56640625E-08;-0.36322021484375;1;67;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.366058349609375;7.74769598043895;-5.645751953125E-08;-0.365692138671875;1;68;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.368499755859375;7.77210998037731;-5.7037353515625E-08;-0.368133544921875;1;69;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.370941162109375;7.79652398031567;-5.767822265625E-08;-0.370513916015625;1;70;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.373382568359375;7.82093798025403;-5.810546875E-08;-0.373016357421875;1;71;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.375823974609375;7.84535198019239;-5.914306640625E-08;-0.37548828125;1;72;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.378265380859375;7.86976598013075;-5.9814453125E-08;-0.37786865234375;1;73;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.380706787109375;7.89417998006911;-6.060791015625E-08;-0.38031005859375;1;74;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.383148193359375;7.91859398000747;-6.0943603515625E-08;-0.382720947265625;1;75;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.385589599609375;7.94300797994583;-6.21337890625E-08;-0.38519287109375;1;76;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.388031005859375;7.96742197988419;-6.2591552734375E-08;-0.387664794921875;1;77;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.390472412109375;7.99183597982255;-6.3629150390625E-08;-0.39007568359375;1;78;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.392913818359375;8.01624997976091;-6.4849853515625E-08;-0.392547607421875;1;79;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.395355224609375;8.04066397969927;-6.536865234375E-08;-0.394927978515625;1;80;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.397796630859375;8.06507797963764;-6.6253662109375E-08;-0.397369384765625;1;81;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.400238037109375;8.089491979576;-6.7352294921875E-08;-0.399810791015625;1;82;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.397796630859375;8.11390597951436;-6.2042236328125E-08;-0.397308349609375;1;83;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.395355224609375;8.13831997945272;-5.908203125E-08;-0.394927978515625;1;84;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.392913818359375;8.16273397939108;-5.62744140625E-08;-0.39251708984375;1;85;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.390472412109375;8.18714797932944;-5.3466796875E-08;-0.390045166015625;1;86;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.388031005859375;8.2115619792678;-5.17578125E-08;-0.387664794921875;1;87;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.385589599609375;8.23597597920616;-4.99267578125E-08;-0.38519287109375;1;88;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.383148193359375;8.26038997914452;-4.8126220703125E-08;-0.382781982421875;1;89;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.380706787109375;8.28480397908288;-4.62646484375E-08;-0.380279541015625;1;90;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.378265380859375;8.30921797902124;-4.5013427734375E-08;-0.377838134765625;1;91;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.375823974609375;8.3336319789596;-4.345703125E-08;-0.375457763671875;1;92;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.373382568359375;8.35804597889796;-4.2144775390625E-08;-0.373016357421875;1;93;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.370941162109375;8.38245997883632;-4.0679931640625E-08;-0.370574951171875;1;94;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.368499755859375;8.40687397877468;-3.9398193359375E-08;-0.36810302734375;1;95;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.366058349609375;8.43128797871304;-3.8555908203125E-08;-0.36566162109375;1;96;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.363616943359375;8.4557019786514;-3.726806640625E-08;-0.363189697265625;1;97;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.361175537109375;8.48011597858977;-3.61328125E-08;-0.36077880859375;1;98;8.41435045003891E-08;-1.87984108924866E-07;100 nA
